event_id_cnty,event_date,event_type,country,admin1,admin2,admin3,latitude,longitude,fatalities
MZM1747,2020-09-09,Battles,Mozambique,Sofala,Chibabava,Muxungue,-20.5855,33.8448,0
MZM1744,2020-09-08,"Violence against civilians",Mozambique,"Cabo Delgado",Palma,Olumbi,-11.1910,40.6105,0
MZM1745,2020-09-08,"Violence against civilians",Mozambique,"Cabo Delgado",Palma,Olumbi,-11.0292,40.6668,1
MZM1743,2020-09-08,Battles,Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0565,40.4946,1
MZM1886,2020-09-08,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0565,40.4946,1
MZM1742,2020-09-07,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0919,40.4569,0
MZM1779,2020-09-07,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,-11.5096,40.0314,1
MZM1741,2020-09-06,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0897,40.4192,0
MZM1740,2020-09-05,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,-11.5096,40.0314,0
MZM1821,2020-09-05,"Strategic developments",Mozambique,"Cabo Delgado",Palma,Olumbi,-11.0292,40.6668,0
MZM1722,2020-09-05,"Strategic developments",Mozambique,Sofala,Gorongosa,Gorongosa,-18.6792,34.0728,0
MZM1723,2020-09-05,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
MZM1725,2020-09-03,"Violence against civilians",Mozambique,Sofala,Chibabava,Muxungue,-20.3202,34.0562,1
MZM1721,2020-09-03,"Strategic developments",Mozambique,Manica,Gondola,Gondola,-19.0883,33.6486,0
MZM1720,2020-09-02,Battles,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,1
MZM1738,2020-09-02,"Violence against civilians",Mozambique,"Cabo Delgado",Palma,Olumbi,-11.1644,40.6827,0
MZM1719,2020-09-01,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.1631,40.3042,0
MZM1737,2020-09-01,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0565,40.4946,2
MZM1717,2020-08-31,Protests,Mozambique,Sofala,"Cidade Da Beira","Cidade Da Beira",-19.8436,34.8389,0
MZM1716,2020-08-31,"Violence against civilians",Mozambique,"Cabo Delgado",Ancuabe,Ancuabe,-12.9767,39.8550,3
