X_COORD,Y_COORD
34.5610696,-21.1625508
33.5011298,-25.1995933
33.2385979,-25.2659855
34.904585,-19.7964834
35.4528008,-21.7080002
36.8697256,-17.8587446
34.5856456,-19.8933436
33.4281135,-19.1499533
32.2776677,-26.0461341
32.8835637,-26.802856
32.7733227,-15.6055973
40.47087,-10.7524932
37.1886348,-11.9008621
38.0001527,-12.2424529
37.54613,-12.1696793
37.6600486,-12.4660624
32.8377075,-26.8285522
32.0042977,-22.8208754
32.9292169,-21.5879383
32.773201,-15.6027002
32.762586,-15.7363258
40.6967906,-14.2110529
40.5249309,-12.9913937
40.0434146,-14.8790274
38.3189937,-12.1403522
38.2838889,-12.1515121
39.6748264,-11.0729292
40.6123137,-11.0301101
34.8043578,-12.7015132
34.353037,-14.7054025
36.98669,-15.5040186
39.8028527,-13.4070995
39.0527992,-13.1218996
37.8172761,-12.2873665
36.5552365,-12.6018862
36.2569637,-12.5498226
36.966587,-16.8536831
35.3380013,-21.6149998
32.7483858,-25.0319515
35.4731954,-21.5362894
32.1598927,-25.2376204
32.1538495,-23.9395556
39.5630989,-11.6729002
32.582491921059535,-25.908199482838196
32.96628531687822,-24.52362092722474
36.52970792733236,-14.816902837953501
35.262497590183095,-13.275282937032769
34.73641021433739,-12.079366611176551
35.335058246346875,-17.833078317623727
31.692617352754564,-22.087896768877506
39.290473516291584,-15.105584775178656
39.945849143581206,-16.181916254046783
38.1799652445733,-17.271909402591632
36.448914079509116,-18.589683750606003
33.640385025000086,-16.105292321206257
33.75316016137927,-24.8926468986211
32.92958143793112,-25.997679827586108
37.68755878136918,-12.118520706883347
35.40888591580391,-23.877190501431276
32.258160662839224,-25.31058026150571
