id,Country,Province,District,Posto,Localidade,Urbanization Status,Cluster Area (from IEP),Cluster Area in km2,Population (from IEP),Population 2025,Population density,Population within 20 km,Buildings (from IEP),Buildings,Distance from MV power lines,Distance from nearest mini-grid,Nightlight (from IEP),Night lights intensity,Electrification status nightlights,Electrification status (IEP study),Least-cost electrification mode (IEP results),Relative Wealth Index,Percentage of food-insecure people,Livelihoods,Conflict fatalities nearby,Cyclone hazard (1 in 100 years wind speed),Elevation,Mean temperature,Mean diurnal temperature range,Cooling Degree Days Cold Room at 4C,Hot days (>30C) in a year,Relative humidity,Precipitation,Aridity Index,Climate class,Solar PV Output (kWh/year per installed kW),Cropland area ha,Cropland percentage of Influence area,Permanent water area (ha) within 10 km,Distance from coastlines,Travel time airports,Travel time ports,Travel time cities,Travel time capital,Travel time railway stations,Export Market Accessibility,National Market Accessibility,Fresh Markets Accessibility,Farming Activity,Ag Cooling Demand Export Market,Ag Cooling Demand National Market,Ag Cooling Demand Fresh Markets,Ag Cooling Demand ALL Markets,Banana production,Cassava production,Citrus production,Cashew Nut production,Cotton production,Maize production,Other Roots & Tubers production,Plantain production,Potato production,Rice production,Sorghum production,Sugarcane production,Sweet Potato production,Temperate Fruit production,Tobacco production,Tropical Fruit production,Vegetables production,Tomato production,Fishing Activity (marine + inland),Fishing type,Fish Cooling Demand Export Market,Fish Cooling Demand National Market,Fish Cooling Demand Fresh Markets,Fish Cooling Demand ALL Markets,Fresh Markets Accessibility - class,National Market Accessibility - class,Export Market Accessibility - class,Ag Cooling Demand ALL Markets - class,Fish Cooling Demand ALL Markets - class,Cooling_potential,Ground_Survey,Staple_Crop Production (t/y),Perishable_Crop Production (t/y),Cash Crop Production (t/y),PUE_potential
361,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,1.011,0.935,399.36,399,426,6568,573,573,260.186,33.994,0.0,0.2,likely electrified,99,3,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,22,347.0,26.2,1.5,8103,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2140,96.567,1.787,26.4,579.7,6.7,9.1,14.5,29.6,9.3,0.138,0.077,0.077,0.017,0.164,0.145,0.16,0.147,0.0,3.2,19.5,0.0,0.0,293.0,0.3,0.0,0.0,0.6,152.7,12.1,37.1,7.2,1.6,0.0,18.3,4.3,0.027,inland,0.069,0.082,0.08,0.077,Low,Low,Low,Low,Low,Low,No,486.9,66.10000000000001,39.2,Low
378,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.741,0.685,330.22,330,481,4387,670,670,254.797,36.892,0.0,0.2,likely electrified,99,3,-0.5,0.15,Cahora Bassa Dam Sesame and Cotton,0,26,332.0,26.4,1.5,8176,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2135,45.609,5.063,84.4,577.7,6.3,8.6,14.1,29.2,8.8,0.16,0.088,0.074,0.042,0.193,0.167,0.174,0.169,0.0,1.3,1.5,0.0,0.0,205.8,0.0,0.0,0.0,0.6,33.7,12.1,6.3,6.0,1.6,0.0,10.1,2.8,0.087,inland,0.119,0.123,0.112,0.119,Low,Low,Low,Low,Low,Low,No,247.70000000000005,23.700000000000003,29.800000000000004,Low
382,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.464,0.429,173.35,173,403,4256,182,182,253.53,37.831,0.0,0.2,likely electrified,99,3,-0.7,0.15,Cahora Bassa Dam Sesame and Cotton,0,26,332.0,26.4,1.5,8176,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2134,27.468,3.323,171.4,577.1,6.1,8.5,14.0,29.1,8.7,0.166,0.091,0.074,0.027,0.188,0.161,0.167,0.163,0.0,1.3,1.5,0.0,0.0,205.8,0.0,0.0,0.0,0.6,33.7,12.1,6.3,6.0,1.6,0.0,10.1,2.8,0.169,inland,0.168,0.168,0.153,0.165,Low,Low,Low,Low,Low,Low,No,247.70000000000005,23.700000000000003,29.800000000000004,Low
387,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Rural Clusters,1.376,1.273,584.8,585,459,6968,818,818,257.884,33.573,0.0,0.2,likely electrified,99,8,-0.7,0.15,Cahora Bassa Dam Sesame and Cotton,0,22,341.0,26.3,1.5,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2138,112.172,1.596,47.5,580.6,6.7,9.0,14.6,29.7,9.2,0.141,0.077,0.077,0.017,0.167,0.147,0.162,0.149,0.0,3.2,19.5,0.0,0.0,293.0,0.3,0.0,0.0,0.6,152.7,12.1,37.1,7.2,1.6,0.0,18.3,4.3,0.05,inland,0.085,0.095,0.093,0.092,Low,Low,Low,Low,Low,Low,No,486.9,66.10000000000001,39.2,Low
459,Mozambique,TETE,MAGOE,MUKUMBURA,Mussenguezi,Low Density Rural,0.347,0.321,128.8,129,402,4836,134,134,240.163,49.414,0.0,0.2,likely electrified,99,3,-0.1,0.15,Central Semiarid Cotton and Minerals,0,25,353.0,26.3,1.5,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2092,182.231,3.372,4.3,569.3,5.2,7.5,13.2,28.3,7.7,0.216,0.116,0.084,0.033,0.216,0.175,0.173,0.18,0.0,8.1,38.3,0.0,0.0,2401.8,6.1,0.0,0.0,0.9,278.2,31.1,15.7,25.6,6.1,0.0,39.8,24.8,0.004,inland,0.101,0.091,0.074,0.09,Low,Low,Low,Low,Low,Low,No,2710.7999999999997,95.3,102.6,Low
464,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Rural Clusters,1.762,1.629,777.2,777,476,5784,1922,1922,254.884,34.721,0.0,0.2,likely electrified,99,8,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,25,336.0,26.3,1.5,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2135,69.733,5.184,428.6,580.2,6.2,8.6,14.2,29.3,8.8,0.161,0.087,0.077,0.044,0.192,0.166,0.175,0.169,0.0,1.3,1.5,0.0,0.0,205.8,0.0,0.0,0.0,0.6,33.7,12.1,6.3,6.0,1.6,0.0,10.1,2.8,0.371,inland,0.275,0.27,0.253,0.27,Low,Low,Low,Low,Medium,Medium,No,247.70000000000005,23.700000000000003,29.800000000000004,Medium
529,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.97,0.897,395.03,395,440,4313,596,596,249.616,38.844,0.0,0.2,likely electrified,99,3,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,332.0,26.4,1.5,8176,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2126,57.308,2.941,1236.0,577.6,5.6,8.0,13.6,28.7,8.2,0.191,0.103,0.078,0.025,0.2,0.167,0.168,0.17,0.0,4.9,8.6,0.0,0.0,1348.4,0.1,0.0,0.0,1.5,84.7,33.6,17.3,20.7,5.4,0.0,31.1,15.0,0.731,inland,0.496,0.471,0.435,0.475,Low,Low,Low,Low,High,High,No,1456.9,74.1,90.8,High
585,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.645,0.596,260.14,260,436,6100,607,607,253.342,34.339,0.0,0.2,likely electrified,99,3,-0.6,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,335.0,26.3,1.5,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2134,492.057,14.109,859.1,581.4,6.0,8.3,14.0,29.1,8.5,0.173,0.093,0.08,0.129,0.244,0.213,0.216,0.217,0.0,1.3,5.5,0.0,0.0,949.6,0.1,0.0,0.0,0.6,33.7,12.1,7.7,9.7,1.7,0.0,11.3,9.5,0.601,inland,0.411,0.395,0.369,0.398,Low,Low,Low,Low,High,High,No,993.0,30.099999999999998,34.8,High
591,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.319,0.295,129.4,129,436,3778,186,186,247.769,39.766,0.0,0.2,likely electrified,99,3,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,333.0,26.4,1.5,8176,234.0,54.0,782.0,0.35,"BSh  Arid, steppe, hot",2118,26.81,1.679,1663.6,577.4,5.5,7.8,13.5,28.6,8.0,0.199,0.106,0.078,0.014,0.199,0.163,0.163,0.166,0.0,4.9,14.2,0.0,0.0,1308.6,4.0,0.0,0.0,1.5,84.7,33.6,15.9,22.9,5.3,0.0,32.1,17.8,0.826,inland,0.554,0.523,0.482,0.528,Low,Low,Low,Low,High,High,No,1419.6000000000001,79.8,93.9,High
620,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.181,0.167,69.26,69,412,4034,206,206,247.587,39.36,0.0,0.2,likely electrified,99,3,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,332.0,26.4,1.5,8176,234.0,54.0,782.0,0.35,"BSh  Arid, steppe, hot",2119,56.904,9.744,1805.9,578.1,5.5,7.8,13.5,28.6,8.0,0.199,0.107,0.079,0.079,0.233,0.197,0.194,0.2,0.0,4.9,18.2,0.0,0.0,2052.4,4.1,0.0,0.0,1.5,84.7,33.6,17.3,26.6,5.4,0.0,33.3,24.5,0.85,inland,0.567,0.536,0.494,0.541,Low,Low,Low,Low,High,High,No,2164.9,86.2,98.9,High
691,Mozambique,TETE,MAGOE,MUKUMBURA,Mussenguezi,Low Density Rural,0.888,0.822,179.0,181,220,3999,512,512,245.214,40.083,0.0,0.2,likely electrified,99,3,-0.3,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,331.0,26.3,1.5,8140,234.0,54.0,782.0,0.35,"BSh  Arid, steppe, hot",2114,382.076,15.093,2917.3,578.8,5.5,7.9,13.5,28.6,8.1,0.196,0.106,0.078,0.133,0.258,0.222,0.217,0.226,0.0,3.6,16.7,0.0,0.0,1846.6,4.1,0.0,0.0,0.9,51.0,21.5,11.0,20.6,3.8,0.0,23.2,21.7,0.95,inland,0.619,0.586,0.542,0.591,Low,Low,Low,Low,High,High,No,1917.1999999999998,62.5,69.1,High
702,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.277,0.256,110.72,111,433,5656,257,257,250.472,34.5,0.0,0.2,likely electrified,99,3,-0.3,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,336.0,26.3,1.5,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2135,814.208,23.552,2016.6,582.8,5.9,8.2,13.9,29.0,8.4,0.178,0.096,0.08,0.215,0.292,0.26,0.256,0.264,0.0,0.0,4.0,0.0,0.0,743.8,0.1,0.0,0.0,0.0,0.0,0.0,1.4,3.7,0.1,0.0,1.2,6.7,0.878,inland,0.569,0.543,0.507,0.548,Low,Low,Low,Medium,High,High,No,745.3,6.3999999999999995,5.0,High
719,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.332,0.307,105.02,105,341,4857,472,472,249.013,35.565,0.0,0.2,likely electrified,99,3,-0.3,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,330.0,26.3,1.5,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2132,72.868,9.073,2436.3,582.4,5.8,8.2,13.8,28.9,8.3,0.182,0.098,0.078,0.075,0.22,0.188,0.19,0.191,0.0,0.0,4.0,0.0,0.0,743.8,0.1,0.0,0.0,0.0,0.0,0.0,1.4,3.7,0.1,0.0,1.2,6.7,0.92,inland,0.594,0.566,0.527,0.571,Low,Low,Low,Low,High,High,No,745.3,6.3999999999999995,5.0,High
804,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.4,0.37,66.84,67,181,5034,236,236,247.385,35.821,0.0,0.2,likely electrified,99,3,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,338.0,26.3,1.4,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2134,102.168,11.227,3634.1,583.4,5.9,8.2,13.9,29.0,8.4,0.178,0.095,0.078,0.093,0.228,0.196,0.198,0.2,0.0,0.0,13.6,0.0,0.0,1447.8,4.1,0.0,0.0,0.0,0.0,0.0,1.4,9.6,0.1,0.0,3.4,16.2,0.974,inland,0.622,0.593,0.554,0.599,Low,Low,Low,Low,Very High,Very High,No,1453.3,18.5,13.1,Very High
808,Mozambique,TETE,MAGOE,MUKUMBURA,Mussenguezi,Low Density Rural,0.377,0.349,60.38,60,172,3679,231,231,242.383,41.049,0.0,0.2,likely electrified,99,3,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,332.0,26.3,1.5,8140,234.0,54.0,782.0,0.35,"BSh  Arid, steppe, hot",2116,295.629,9.381,4726.7,579.9,5.6,7.9,13.6,28.7,8.1,0.194,0.104,0.076,0.085,0.232,0.196,0.193,0.199,0.0,0.0,13.8,0.0,0.0,970.6,5.8,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,3.1,15.3,0.991,inland,0.64,0.606,0.561,0.612,Low,Low,Low,Low,Very High,Very High,No,976.4,17.400000000000002,11.6,Very High
874,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.805,0.746,151.29,151,202,5035,581,581,246.475,35.981,0.0,0.2,likely electrified,99,3,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,347.0,26.2,1.4,8103,234.0,54.0,782.0,0.35,"BSh  Arid, steppe, hot",2137,100.722,3.133,4584.5,584.1,6.3,8.6,14.3,29.4,8.8,0.158,0.085,0.074,0.028,0.18,0.155,0.164,0.157,0.0,0.0,18.0,0.0,0.0,1701.9,5.7,0.0,0.0,0.0,0.0,0.0,1.4,11.8,0.1,0.0,4.4,22.6,0.989,inland,0.617,0.594,0.557,0.599,Low,Low,Low,Low,Very High,Very High,No,1709.0000000000002,23.300000000000004,16.3,Very High
913,Mozambique,TETE,MAGOE,MUKUMBURA,Mussenguezi,Low Density Rural,0.422,0.39,65.56,66,169,3651,279,279,240.411,41.438,0.0,0.2,likely electrified,99,3,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,326.0,26.3,1.5,8140,234.0,54.0,782.0,0.35,"BSh  Arid, steppe, hot",2127,143.597,5.652,7548.7,581.5,6.0,8.4,14.0,29.1,8.6,0.171,0.092,0.072,0.05,0.201,0.172,0.175,0.174,0.0,0.0,13.8,0.0,0.0,970.6,5.8,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,3.1,15.3,0.999,inland,0.632,0.604,0.563,0.61,Low,Low,Low,Low,Very High,Very High,No,976.4,17.400000000000002,11.6,Very High
925,Mozambique,TETE,MAGOE,MUKUMBURA,Mussenguezi,Low Density Rural,0.577,0.534,109.98,111,207,3747,602,602,239.901,41.33,0.0,0.2,likely electrified,99,3,-0.1,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,326.0,26.3,1.5,8140,234.0,54.0,782.0,0.35,"BSh  Arid, steppe, hot",2132,4.373,0.172,9351.7,582.4,6.4,8.8,14.4,29.5,9.0,0.151,0.082,0.069,0.002,0.165,0.141,0.151,0.143,0.0,0.0,13.8,0.0,0.0,970.6,5.8,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,3.1,15.3,1.0,inland,0.622,0.599,0.562,0.604,Low,Low,Low,Low,Very High,Very High,No,976.4,17.400000000000002,11.6,Very High
928,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Very Low Density Rural,0.337,0.312,40.58,41,131,4837,147,147,243.805,37.056,0.0,0.2,likely electrified,99,3,-0.1,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,338.0,26.3,1.5,8140,234.0,54.0,782.0,0.35,"BSh  Arid, steppe, hot",2147,15.484,0.797,7570.2,585.4,7.0,9.4,15.0,30.1,9.5,0.125,0.068,0.067,0.007,0.154,0.137,0.153,0.138,0.0,0.0,18.0,0.0,0.0,1701.9,5.7,0.0,0.0,0.0,0.0,0.0,1.4,11.8,0.1,0.0,4.4,22.6,0.999,inland,0.607,0.592,0.561,0.596,Low,Low,Low,Low,Very High,Very High,No,1709.0000000000002,23.300000000000004,16.3,Very High
966,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.549,0.508,84.89,85,167,4898,756,756,242.616,37.053,0.0,0.2,likely electrified,99,3,-0.2,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,332.0,26.3,1.4,8140,234.0,54.0,782.0,0.35,"Aw   Tropical, savannah",2163,40.071,0.682,9849.9,587.4,7.7,10.0,15.7,30.8,10.2,0.099,0.053,0.06,0.007,0.139,0.129,0.149,0.129,0.0,0.0,4.4,0.0,0.0,254.1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,1.0,6.4,1.0,inland,0.592,0.584,0.558,0.587,Low,Low,Low,Low,High,High,No,255.7,4.800000000000001,3.2,High
969,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.418,0.387,58.78,59,152,7155,287,287,256.292,22.536,0.0,0.2,likely electrified,99,3,0.0,0.15,Cahora Bassa Dam Sesame and Cotton,0,21,376.0,25.9,1.4,7993,232.0,55.0,801.0,0.37,"BSh  Arid, steppe, hot",2151,303.379,0.537,276.7,597.1,8.8,11.1,16.8,31.9,11.3,0.061,0.033,0.056,0.015,0.115,0.114,0.144,0.113,0.0,0.0,8.4,0.0,0.0,997.9,1.7,0.0,0.0,0.0,0.0,0.0,1.4,5.9,0.1,0.0,2.2,13.1,0.259,inland,0.148,0.174,0.179,0.169,Low,Low,Low,Low,Low,Low,No,1001.0,11.2,8.2,Low
988,Mozambique,TETE,MAGOE,MUKUMBURA,Mussenguezi,Very Low Density Rural,0.241,0.223,28.36,28,125,2807,130,130,232.744,47.099,0.0,0.2,likely electrified,99,3,-0.2,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,334.0,26.3,1.5,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2136,5.276,0.093,12567.9,581.8,7.2,9.6,15.2,30.3,9.8,0.116,0.062,0.058,0.001,0.146,0.131,0.146,0.131,0.0,0.0,4.2,0.0,0.0,266.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.9,5.8,1.0,inland,0.602,0.589,0.557,0.592,Low,Low,Low,Low,High,High,No,268.40000000000003,5.300000000000001,3.5,High
991,Mozambique,TETE,MAGOE,MUKUMBURA,Mussenguezi,Low Density Rural,0.269,0.249,34.34,34,136,2970,145,145,233.113,46.608,0.0,0.2,likely electrified,99,3,-0.1,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,329.0,26.3,1.5,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2139,0.0,0.0,13088.8,582.3,7.4,9.8,15.4,30.5,10.0,0.108,0.058,0.057,0.0,0.141,0.128,0.145,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,inland,0.598,0.587,0.556,0.59,Low,Low,Low,Low,High,High,No,0.0,0.0,0.0,High
1030,Mozambique,TETE,MAGOE,MUKUMBURA,Cazindira,Very Low Density Rural,0.439,0.407,48.06,48,117,2245,268,268,226.859,52.507,0.0,0.2,likely electrified,99,3,-0.7,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,332.0,26.3,1.5,8140,220.0,56.0,767.0,0.36,"BSh  Arid, steppe, hot",2137,1.547,0.007,9196.2,580.2,8.6,11.0,16.6,31.8,11.2,0.065,0.035,0.043,0.0,0.118,0.116,0.138,0.113,0.0,0.0,4.2,0.0,0.0,266.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.9,5.8,1.0,inland,0.573,0.575,0.549,0.575,Low,Low,Low,Low,High,High,No,268.40000000000003,5.300000000000001,3.5,High
1087,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Very Low Density Rural,0.127,0.118,19.74,20,170,4513,136,136,244.53,33.091,0.0,0.2,likely electrified,99,3,-0.3,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,332.0,26.2,1.4,8103,198.0,58.0,867.0,0.35,"Aw   Tropical, savannah",2188,4.207,0.016,13798.0,595.3,9.0,11.4,17.0,32.2,11.6,0.053,0.029,0.046,0.0,0.109,0.111,0.138,0.108,0.0,0.0,4.4,0.0,0.0,254.1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,1.0,6.4,1.0,inland,0.565,0.57,0.549,0.57,Low,Low,Low,Low,High,High,No,255.7,4.800000000000001,3.2,High
1164,Mozambique,TETE,MAGOE,MUKUMBURA,Cazindira,Low Density Rural,0.177,0.164,32.45,32,195,1217,145,145,217.853,60.03,0.0,0.2,likely electrified,99,3,-0.5,0.15,Cahora Bassa Dam Sesame and Cotton,0,28,321.0,26.4,1.5,8176,198.0,58.0,816.0,0.35,"BSh  Arid, steppe, hot",2183,55.513,0.356,12627.1,582.1,8.3,10.7,16.3,31.5,10.9,0.075,0.04,0.043,0.005,0.128,0.123,0.143,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,inland,0.581,0.58,0.551,0.58,Low,Low,Low,Low,High,High,No,0.0,0.0,0.0,High
1191,Mozambique,TETE,MAGOE,CHINTHOPO,Chinthopo Sede,Low Density Rural,0.148,0.137,99.67,100,728,1192,231,231,290.536,20.293,0.0,0.2,likely electrified,99,3,-0.5,0.15,Cahora Bassa Dam Sesame and Cotton,0,18,341.0,25.8,1.4,7957,202.0,58.0,884.0,0.34,"BSh  Arid, steppe, hot",2140,75.493,1.259,600.2,633.3,9.7,10.4,16.7,31.8,10.5,0.065,0.034,0.039,0.013,0.113,0.112,0.133,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476,inland,0.269,0.287,0.276,0.281,Low,Low,Low,Low,Medium,Medium,No,0.0,0.0,0.0,Medium
1200,Mozambique,TETE,MAGOE,MUKUMBURA,Cazindira,Low Density Rural,0.151,0.14,24.0,24,171,35749,196,196,199.311,79.151,0.0,0.2,likely electrified,99,3,0.0,0.15,Cahora Bassa Dam Sesame and Cotton,0,28,334.0,26.3,1.5,8140,185.0,58.0,870.0,0.35,"Aw   Tropical, savannah",2196,2.358,0.011,10871.0,571.7,4.0,6.4,12.0,27.1,6.5,0.286,0.164,0.193,0.0,0.236,0.183,0.208,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,inland,0.697,0.643,0.624,0.665,Low,Low,Low,Low,Very High,Very High,No,0.0,0.0,0.0,Very High
1205,Mozambique,TETE,MAGOE,MUKUMBURA,Cazindira,Very Low Density Rural,0.164,0.152,24.45,24,158,16395,107,107,211.379,66.448,0.0,0.2,likely electrified,99,3,-0.5,0.15,Cahora Bassa Dam Sesame and Cotton,0,28,321.0,26.4,1.5,8176,198.0,58.0,816.0,0.35,"BSh  Arid, steppe, hot",2190,25.242,0.174,14052.3,579.8,6.9,9.2,14.9,30.0,9.4,0.131,0.073,0.104,0.002,0.156,0.139,0.17,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,inland,0.613,0.597,0.582,0.607,Low,Low,Low,Low,Very High,Very High,No,0.0,0.0,0.0,Very High
1268,Mozambique,TETE,MAGOE,CHINTHOPO,Chinthopo Sede,Low Density Rural,0.127,0.118,81.53,82,694,300,186,186,287.004,19.36,0.0,0.2,likely electrified,99,3,0.0,0.15,Cahora Bassa Dam Sesame and Cotton,0,17,330.0,25.9,1.4,7993,202.0,58.0,884.0,0.33,"BSh  Arid, steppe, hot",2155,43.827,0.231,1317.4,632.8,9.3,10.0,16.3,31.4,10.1,0.077,0.041,0.04,0.003,0.117,0.112,0.13,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.753,inland,0.433,0.439,0.416,0.436,Low,Low,Low,Low,High,High,No,0.0,0.0,0.0,High
1276,Mozambique,TETE,MAGOE,MUKUMBURA,Cazindira,Very Low Density Rural,0.193,0.179,24.87,25,139,35743,143,143,206.791,70.916,0.0,0.2,likely electrified,99,3,-0.1,0.15,Cahora Bassa Dam Sesame and Cotton,0,26,326.0,26.4,1.5,8176,198.0,58.0,816.0,0.35,"BSh  Arid, steppe, hot",2196,14.569,0.12,16201.2,578.8,6.5,8.8,14.5,29.6,9.0,0.149,0.088,0.169,0.001,0.165,0.146,0.2,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,inland,0.623,0.605,0.614,0.624,Low,Low,Low,Low,Very High,Very High,No,0.0,0.0,0.0,Very High
1300,Mozambique,TETE,MAGOE,CHINTHOPO,Chinthopo Sede,Low Density Rural,0.127,0.118,63.93,64,543,529,127,127,287.744,20.388,0.0,0.2,likely electrified,99,3,0.0,0.15,Cahora Bassa Dam Sesame and Cotton,0,17,333.0,25.9,1.4,7993,202.0,58.0,884.0,0.33,"BSh  Arid, steppe, hot",2156,59.187,1.365,1461.6,633.8,9.2,9.9,16.2,31.3,10.0,0.081,0.042,0.041,0.013,0.124,0.118,0.136,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.787,inland,0.454,0.457,0.434,0.455,Low,Low,Low,Low,High,High,No,0.0,0.0,0.0,High
1456,Mozambique,TETE,MAGOE,CHINTHOPO,Chinthopo Sede,Low Density Rural,0.198,0.184,273.71,274,1488,6965,330,330,305.277,38.776,0.0,0.2,likely electrified,99,10,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,3,14,338.0,25.6,1.4,7884,155.0,60.0,1042.0,0.34,"BSh  Arid, steppe, hot",2152,60.593,0.357,1134.0,650.6,7.5,8.2,14.5,29.6,8.3,0.149,0.081,0.078,0.005,0.15,0.127,0.143,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.701,inland,0.437,0.426,0.403,0.429,Low,Low,Low,Low,High,High,No,0.0,0.0,0.0,High
1477,Mozambique,TETE,ZUMBU,ZUMBU,Mukangadzi,Low Density Rural,0.452,0.419,110.66,112,267,1814,574,574,229.745,48.111,0.0,0.2,likely electrified,99,3,-0.3,0.0,Cahora Bassa Dam Sesame and Cotton,0,23,339.0,26.0,1.4,8030,198.0,58.0,867.0,0.35,"Aw   Tropical, savannah",2182,19.111,0.09,8800.6,600.2,10.5,12.8,18.5,33.6,13.0,0.021,0.011,0.023,0.001,0.088,0.098,0.124,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,inland,0.542,0.556,0.533,0.552,Low,Low,Low,Low,High,High,No,0.0,0.0,0.0,High
