id,Country,Province,District,Posto,Localidade,Urbanization Status,Cluster Area (from IEP),Cluster Area in km2,Population (from IEP),Population 2025,Population density,Population within 20 km,Buildings (from IEP),Buildings,Distance from MV power lines,Distance from nearest mini-grid,Nightlight (from IEP),Night lights intensity,Electrification status nightlights,Electrification status (IEP study),Least-cost electrification mode (IEP results),Relative Wealth Index,Percentage of food-insecure people,Livelihoods,Conflict fatalities nearby,Cyclone hazard (1 in 100 years wind speed),Elevation,Mean temperature,Mean diurnal temperature range,Cooling Degree Days Cold Room at 4C,Hot days (>30C) in a year,Relative humidity,Precipitation,Aridity Index,Climate class,Solar PV Output (kWh/year per installed kW),Cropland area ha,Cropland percentage of Influence area,Permanent water area (ha) within 10 km,Distance from coastlines,Travel time airports,Travel time ports,Travel time cities,Travel time capital,Travel time railway stations,Export Market Accessibility,National Market Accessibility,Fresh Markets Accessibility,Farming Activity,Ag Cooling Demand Export Market,Ag Cooling Demand National Market,Ag Cooling Demand Fresh Markets,Ag Cooling Demand ALL Markets,Banana production,Cassava production,Citrus production,Cashew Nut production,Cotton production,Maize production,Other Roots & Tubers production,Plantain production,Potato production,Rice production,Sorghum production,Sugarcane production,Sweet Potato production,Temperate Fruit production,Tobacco production,Tropical Fruit production,Vegetables production,Tomato production,Fishing Activity (marine + inland),Fishing type,Fish Cooling Demand Export Market,Fish Cooling Demand National Market,Fish Cooling Demand Fresh Markets,Fish Cooling Demand ALL Markets,Fresh Markets Accessibility - class,National Market Accessibility - class,Export Market Accessibility - class,Ag Cooling Demand ALL Markets - class,Fish Cooling Demand ALL Markets - class,Cooling_potential,Ground_Survey,Staple_Crop Production (t/y),Perishable_Crop Production (t/y),Cash Crop Production (t/y),PUE_potential
521489,Mozambique,ZAMBEZIA,MILANGE,MAJAUA,Majaua-Sede,Low Density Rural,0.471,0.435,306.75,307,706,164118,302,302,114.87,10.095,0.0,0.2,likely electrified,99,3,-0.3,0.1,Northwestern Cropping and Cross-border Trade,0,90,456.0,23.6,1.2,7154,81.0,71.0,1304.0,0.81,"Aw   Tropical, savannah",1943,147.511,3.419,9.3,255.8,3.8,5.8,8.8,23.0,4.2,0.381,0.315,0.63,0.032,0.243,0.22,0.375,0.274,4.3,25567.1,63.1,0.0,0.3,1417.4,11.4,0.0,11.5,345.4,252.5,0.0,1451.4,91.1,49.4,51.4,43.5,100.2,0.009,inland,0.133,0.14,0.292,0.191,Very High,Medium,Medium,Medium,Low,Medium,No,29061.0,27231.7,235.7,Low
521505,Mozambique,ZAMBEZIA,MILANGE,MAJAUA,Dachúdua,Low Density Rural,0.415,0.383,333.7,350,913,169148,116,116,116.748,10.685,0.0,0.2,likely electrified,99,3,-0.2,0.1,Northwestern Cropping and Cross-border Trade,0,92,486.0,23.4,1.2,7081,81.0,71.0,1304.0,0.83,"Aw   Tropical, savannah",1942,60.114,6.379,6.4,256.7,3.8,5.8,8.9,23.0,4.2,0.381,0.315,0.645,0.053,0.25,0.226,0.388,0.283,4.3,0.0,12.2,0.0,0.0,782.4,2.5,0.0,11.5,267.5,0.0,0.0,1.2,3.9,0.1,16.3,3.7,18.7,0.006,inland,0.127,0.134,0.294,0.187,Very High,Medium,Medium,Medium,Low,Medium,No,1069.3999999999999,43.4,24.0,Low
521539,Mozambique,ZAMBEZIA,MILANGE,MAJAUA,Dachúdua,Low Density Rural,0.447,0.413,279.05,279,675,172650,145,145,119.853,12.334,0.0,0.2,likely electrified,99,3,-0.1,0.1,Northwestern Cropping and Cross-border Trade,0,92,536.0,23.1,1.2,6972,81.0,71.0,1304.0,0.88,"Aw   Tropical, savannah",1939,49.36,4.301,8.9,258.2,3.8,5.8,8.9,23.0,4.2,0.381,0.317,0.656,0.036,0.234,0.212,0.379,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,inland,0.121,0.13,0.295,0.184,Very High,Medium,Medium,Medium,Low,Medium,No,0.0,0.0,0.0,Low
521592,Mozambique,ZAMBEZIA,MILANGE,MAJAUA,Dachúdua,Low Density Rural,0.53,0.489,275.02,280,572,169535,154,154,123.423,14.225,0.0,0.2,likely electrified,99,3,0.0,0.1,Northwestern Cropping and Cross-border Trade,0,92,541.0,23.0,1.2,6935,81.0,71.0,1304.0,0.88,"Aw   Tropical, savannah",1943,81.903,7.607,9.2,261.1,3.9,5.8,8.9,23.1,4.3,0.376,0.312,0.647,0.063,0.244,0.222,0.386,0.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,inland,0.117,0.126,0.288,0.179,Very High,Medium,Medium,Medium,Low,Medium,No,0.0,0.0,0.0,Low
521596,Mozambique,ZAMBEZIA,MILANGE,MAJAUA,Dachúdua,Low Density Rural,0.385,0.356,186.96,192,539,166124,120,120,123.518,13.851,0.0,0.2,likely electrified,99,3,0.2,0.1,Northwestern Cropping and Cross-border Trade,0,90,526.0,23.1,1.2,6972,81.0,71.0,1304.0,0.86,"Aw   Tropical, savannah",1945,376.668,15.773,8.2,262.1,3.9,5.9,8.9,23.1,4.3,0.373,0.31,0.636,0.138,0.284,0.262,0.418,0.318,0.0,67338.0,1.3,0.0,79.9,3093.3,0.0,3.9,360.4,0.0,841.9,0.0,106823.2,0.0,57.4,0.0,0.0,0.1,0.008,inland,0.117,0.126,0.284,0.178,Very High,Medium,Medium,High,Low,High,No,178460.7,174525.5,137.3,Low
522588,Mozambique,NIASSA,LICHINGA,CHIMBONILA,Mussa,Low Density Rural,0.38,0.36,256.14,256,711,41698,727,727,300.406,43.999,0.0,0.3,likely electrified,1,1,-0.5,0.0,Northwestern Tobacco and Maize,0,47,1243.0,19.3,1.1,5584,17.0,68.0,1132.0,0.72,"Cwa  Temperate, dry winter, hot summer",1923,355.7,7.986,27.1,522.2,2.2,2.2,7.5,29.1,0.3,0.534,0.294,0.256,0.076,0.253,0.138,0.137,0.167,0.0,371.5,59.1,0.0,575.2,209.0,4.2,0.0,194.3,39.4,25.8,0.0,213.4,97.3,71.5,51.2,48.5,142.8,0.028,inland,0.13,0.044,0.026,0.067,Medium,Medium,High,Low,Low,Low,No,1057.6000000000001,980.4000000000001,843.7,Low
522619,Mozambique,NIASSA,LICHINGA,CHIMBONILA,Malica,Low Density Rural,0.278,0.264,95.39,95,359,45603,330,330,304.908,39.272,0.558,0.2,likely electrified,99,3,-0.3,0.0,Northwestern Tobacco and Maize,0,43,1199.0,19.7,1.1,5730,7.0,70.0,1130.0,0.72,"Cwa  Temperate, dry winter, hot summer",1928,1307.954,33.651,28.1,529.4,2.2,2.2,7.6,29.3,0.4,0.53,0.291,0.267,0.312,0.385,0.268,0.26,0.301,0.0,375.4,71.2,0.0,771.4,188.1,3.8,0.0,300.7,34.2,26.0,0.0,226.5,102.8,93.1,61.6,58.7,176.0,0.029,inland,0.137,0.052,0.041,0.077,Medium,Medium,High,High,Low,High,No,1154.6999999999998,1129.5,1087.6,Low
522651,Mozambique,NIASSA,LICHINGA,CHIMBONILA,Malica,Low Density Rural,0.757,0.719,195.47,196,272,48232,2194,2194,311.904,33.471,0.0,0.2,likely electrified,99,3,0.0,0.0,Northwestern Tobacco and Maize,0,43,1178.0,19.9,1.1,5803,7.0,70.0,1130.0,0.72,"Cwa  Temperate, dry winter, hot summer",1934,747.081,14.33,4.9,537.6,2.9,2.9,8.7,30.3,1.4,0.46,0.249,0.265,0.139,0.26,0.161,0.182,0.193,0.0,514.4,98.6,0.0,1131.7,230.7,4.2,0.0,423.5,59.3,35.8,0.0,296.2,161.6,134.3,84.5,79.6,243.6,0.004,inland,0.089,0.021,0.031,0.047,Medium,Low,High,Low,Low,Low,No,1564.1000000000001,1564.0,1591.6999999999998,Low
523293,Mozambique,INHAMBANE,CIDADE DE INHAMBANE,CIDADE DE INHAMBANE,Nao Aplicavel,Low Density Rural,0.668,0.56,201.71,204,364,12821,300,300,15.246,100.715,0.993,0.3,likely electrified,99,3,0.1,0.0,"Southern Coastal Cassava, Coconut, and Fishing",0,157,0.0,23.9,1.0,7263,0.0,75.0,779.0,0.0,"Aw   Tropical, savannah",1985,0.0,0.0,87.3,0.4,1.3,0.4,6.6,6.7,5.3,0.709,0.498,0.173,0.0,0.407,0.305,0.152,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,marine,0.855,0.746,0.544,0.727,Low,Very High,Very High,Medium,Very High,Very High,No,0.0,0.0,0.0,Very High
523727,Mozambique,SOFALA,MARROMEU,CHUPANGA,Mponda,Low Density Rural,0.861,0.781,297.36,297,380,102125,356,356,13.393,59.44,0.0,0.2,likely electrified,99,3,-0.6,0.1,Coastal Sugarcane and Fishing,0,121,34.0,25.6,1.3,7884,202.0,69.0,801.0,0.6,"Aw   Tropical, savannah",1938,234.58,1.85,1511.8,122.8,3.7,3.4,5.1,18.9,0.8,0.552,0.438,0.47,0.023,0.374,0.323,0.335,0.342,0.0,0.0,40.6,0.0,0.0,135.0,19.1,0.0,0.0,29.2,0.0,5.6,0.2,15.5,0.0,19.5,11.8,62.5,0.797,inland,0.716,0.665,0.646,0.687,High,Very High,Very High,High,Very High,Very High,No,183.49999999999997,66.10000000000001,52.400000000000006,Very High
523766,Mozambique,ZAMBEZIA,MOPEIA,MOPEIA,N'zanza,Low Density Rural,0.593,0.539,328.89,329,610,105034,262,262,3.177,49.388,0.0,0.3,likely electrified,99,10,-0.5,0.0,Zambezi Valley with Maize and Fishing,1,117,44.0,25.8,1.3,7957,192.0,69.0,863.0,0.58,"Aw   Tropical, savannah",1974,76.4,6.69,1800.3,137.7,3.0,3.0,4.6,18.4,0.2,0.604,0.472,0.484,0.056,0.423,0.362,0.361,0.381,0.0,268.1,53.1,0.0,8.3,1260.9,0.7,0.0,0.0,29.5,106.3,12527.0,186.5,167.5,116.2,23.1,50.9,137.4,0.849,inland,0.778,0.715,0.683,0.737,High,Very High,Very High,Very High,Very High,Very High,No,1852.0000000000002,696.8000000000001,12893.0,Very High
523771,Mozambique,ZAMBEZIA,MOPEIA,MOPEIA,N'zanza,Low Density Rural,0.377,0.342,251.59,252,737,105125,251,251,3.802,49.2,0.0,0.3,likely electrified,1,1,-0.5,0.0,Zambezi Valley with Maize and Fishing,0,117,44.0,25.7,1.3,7920,192.0,69.0,863.0,0.58,"Aw   Tropical, savannah",1969,114.129,5.083,1767.4,137.3,3.0,3.0,4.7,18.4,0.3,0.602,0.469,0.483,0.044,0.414,0.352,0.353,0.372,0.0,1312.2,143.6,0.0,9.9,1860.2,1.7,0.0,0.0,89.1,326.3,12527.0,743.1,508.7,312.5,65.8,141.2,379.6,0.844,inland,0.772,0.708,0.678,0.731,High,Very High,Very High,High,Very High,Very High,No,4332.6,2772.7,13565.1,Very High
523793,Mozambique,ZAMBEZIA,MOPEIA,MOPEIA,Sambalendo,Low Density Rural,0.551,0.5,323.53,324,647,93367,163,163,4.115,43.765,0.0,0.3,likely electrified,99,10,-0.5,0.0,Zambezi Valley with Maize and Fishing,0,117,116.0,25.4,1.3,7811,192.0,69.0,863.0,0.59,"Aw   Tropical, savannah",1956,497.931,8.604,1701.2,141.4,2.8,2.8,4.6,18.4,0.2,0.616,0.469,0.447,0.085,0.437,0.367,0.349,0.383,0.0,29624.6,175.3,0.0,9.7,1205.8,9.0,0.0,0.0,540.6,507.5,12498.4,2302.8,510.9,345.3,94.2,148.9,370.6,0.833,inland,0.767,0.696,0.648,0.715,High,Very High,Very High,Very High,Very High,Very High,No,34190.299999999996,32690.4,13607.4,Very High
524732,Mozambique,ZAMBEZIA,MILANGE,MAJAUA,Dachúdua,Low Density Rural,0.799,0.738,399.66,404,547,173906,186,186,121.215,14.222,0.0,0.2,likely electrified,99,3,0.1,0.1,Northwestern Cropping and Cross-border Trade,0,92,548.0,23.0,1.2,6935,81.0,71.0,1304.0,0.9,"Aw   Tropical, savannah",1937,73.471,6.14,8.4,257.3,3.8,5.8,8.8,23.0,4.2,0.381,0.319,0.661,0.051,0.24,0.219,0.387,0.277,4.3,0.0,12.2,0.0,0.0,782.4,2.5,0.0,11.5,267.5,0.0,0.0,1.2,3.9,0.1,16.3,3.7,18.7,0.008,inland,0.119,0.129,0.295,0.183,Very High,Medium,Medium,Medium,Low,Medium,No,1069.3999999999999,43.4,24.0,Low
525994,Mozambique,NIASSA,LICHINGA,CHIMBONILA,Malica,Low Density Rural,0.341,0.323,96.82,97,299,43544,947,947,308.629,35.586,0.0,0.2,likely electrified,99,3,0.0,0.0,Northwestern Tobacco and Maize,0,43,1170.0,19.9,1.1,5803,7.0,70.0,1130.0,0.72,"Cwa  Temperate, dry winter, hot summer",1928,862.109,22.946,6.8,530.7,2.3,2.3,7.5,29.4,0.4,0.524,0.289,0.262,0.212,0.333,0.22,0.215,0.25,0.0,352.5,68.4,0.0,784.5,168.9,3.6,0.0,297.5,39.2,24.4,0.0,216.3,102.3,91.2,60.8,55.5,169.3,0.006,inland,0.126,0.044,0.031,0.067,Medium,Medium,High,Medium,Low,Medium,No,1102.4,1088.5,1094.3,Low
526709,Mozambique,ZAMBEZIA,MOPEIA,MOPEIA,N'zanza,Low Density Rural,0.301,0.273,191.35,191,700,104276,208,208,4.713,51.314,0.0,0.2,likely electrified,99,3,-0.4,0.0,Zambezi Valley with Maize and Fishing,0,117,34.0,25.8,1.3,7957,197.0,69.0,832.0,0.58,"Aw   Tropical, savannah",1978,164.468,6.704,1646.7,135.9,3.0,3.0,4.6,18.4,0.2,0.604,0.472,0.482,0.059,0.425,0.363,0.361,0.382,0.0,104.8,42.7,0.0,0.8,1141.7,0.3,0.0,0.0,33.7,101.4,28.6,183.6,174.6,75.6,16.4,46.9,129.9,0.823,inland,0.764,0.701,0.669,0.723,High,Very High,Very High,Very High,Very High,Very High,No,1565.5,526.6,342.9,Very High
527876,Mozambique,ZAMBEZIA,MILANGE,MAJAUA,Dachúdua,Low Density Rural,0.365,0.337,224.02,224,664,169230,153,153,123.028,15.134,0.0,0.2,likely electrified,99,3,0.4,0.1,Northwestern Cropping and Cross-border Trade,0,92,574.0,22.8,1.2,6862,81.0,71.0,1304.0,0.92,"Aw   Tropical, savannah",1939,33.682,5.554,7.2,258.7,3.8,5.8,8.8,23.0,4.2,0.381,0.317,0.647,0.045,0.232,0.21,0.373,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,inland,0.113,0.122,0.283,0.175,Very High,Medium,Medium,Medium,Low,Medium,No,0.0,0.0,0.0,Low
527953,Mozambique,ZAMBEZIA,MILANGE,MAJAUA,Dachúdua,Low Density Rural,0.451,0.417,251.14,251,602,171321,141,141,128.246,18.922,0.0,0.2,likely electrified,99,3,0.2,0.1,Northwestern Cropping and Cross-border Trade,0,92,554.0,22.8,1.2,6862,81.0,71.0,1304.0,0.92,"Aw   Tropical, savannah",1950,160.166,13.279,7.1,261.9,4.0,5.8,9.0,23.3,4.3,0.371,0.309,0.651,0.111,0.262,0.241,0.406,0.299,0.0,48736.6,0.0,0.0,68.7,0.0,0.0,0.1,57.1,0.0,575.4,0.0,79244.7,0.0,54.7,0.0,0.0,0.0,0.007,inland,0.108,0.118,0.285,0.173,Very High,Medium,Medium,High,Low,High,No,128613.9,128038.5,123.4,Low
