id,Country,Region,District,Postos,Postos_INE,Urbanization Status,Cluster Area (from IEP),Cluster Area in km2,Population (from IEP),Population 2025,Population density,Population within 20 km,Buildings (from IEP),Buildings,Distance from MV power lines,Distance from nearest mini-grid,Nightlight (from IEP),Night lights intensity,Electrification status nightlights,Electrification status (IEP study),Least-cost electrification mode (IEP results),Least-cost elec. New Capacity (kW),Least-cost elec. Generating Cost ($/kWh),Relative Wealth Index,Percentage of food-insecure people,Livelihoods,Conflict fatalities nearby,Cyclone hazard (1 in 100 years wind speed),Elevation,Mean temperature,Mean diurnal temperature range,Cooling Degree Days Cold Room at 4C,Hot days (>30C) in a year,Relative humidity,Precipitation,Aridity Index,Climate class,Solar PV Output (kWh/year per installed kW),Cropland area ha,Cropland percentage of Influence area,Permanent water area (ha) within 10 km,Distance from coastlines,Travel time airports,Travel time ports,Travel time cities,Travel time capital,Travel time railway stations,Export Market Accessibility,National Market Accessibility,Fresh Markets Accessibility,Farming Activity,Ag Cooling Demand Export Market,Ag Cooling Demand National Market,Ag Cooling Demand Fresh Markets,Ag Cooling Demand ALL Markets,Banana production,Cassava production,Citrus production,Cashew Nut production,Cotton production,Maize production,Other Roots & Tubers production,Plantain production,Potato production,Rice production,Sorghum production,Sugarcane production,Sweet Potato production,Temperate Fruit production,Tobacco production,Tropical Fruit production,Vegetables production,Tomato production,Fishing Activity (marine + inland),Fishing type,Fish Cooling Demand Export Market,Fish Cooling Demand National Market,Fish Cooling Demand Fresh Markets,Fish Cooling Demand ALL Markets,Fresh Markets Accessibility - class,National Market Accessibility - class,Export Market Accessibility - class,Ag Cooling Demand ALL Markets - class,Fish Cooling Demand ALL Markets - class,Cooling_potential,Ground_Survey,Staple_Crop Production (t/y),Perishable_Crop Production (t/y),Cash Crop Production (t/y),PUE_potential
405440,Mozambique,NIASSA,LICHINGA,MEPONDA,Meponda,Low Density Rural,0.889,0.842,232.715,233,276,10146,2066,2066,256.288,16.841,0.76,0.2,likely electrified,99,3,2.271,0.939,-0.3,,Lakeshore Basic Staples and Fishing,0,44,487,25.6,1,7884,56,68,1240,0.69,"Aw   Tropical, savannah",2095,110.099,0.463,11591.7,540.7,3,3,9.2,30.3,1.4,0.456,0.225,0.139,0.007,0.314,0.203,0.173,0.223,0,2.5,5.5,0,7.8,25.4,2.3,0,8.5,5.5,2.2,0,28.7,5.2,0.9,6.9,3.3,11.9,1,inland,0.775,0.66,0.583,0.683,Low,Low,High,Low,Very High,Very High,No,75.1,57.4,24.1,Very High
405589,Mozambique,LAGO NIASSA,LAGO NIASSA,LAGO NIASSA,Cóbue,Rural Clusters,0.674,0.645,537.218,537,832,3628,435,435,377.2,83.827,0,0.2,likely electrified,99,10,15.857,0.742,-0.3,,Lakeshore Basic Staples and Fishing,0,24,484,25.3,0.8,7774,92,65,971,0.64,"Aw   Tropical, savannah",2111,237.351,1.007,12126.9,606.9,2.2,0.4,11.8,33,4.1,0.441,0.171,0.094,0.016,0.304,0.174,0.15,0.202,0,3740.1,49.5,0,0,534.3,14.5,0,77.1,26.6,114.4,0,535.2,36.2,0,139.9,26.9,87,1,inland,0.76,0.625,0.554,0.657,Low,Low,Medium,Low,Very High,Very High,No,5042.2,4569.9,203,Very High
412115,Mozambique,NIASSA,LAGO,COBUE,Cóbue,Low Density Rural,0.391,0.374,135.369,135,360,1173,155,155,385.269,75.4,0,0.2,likely electrified,99,3,1.316,0.936,-0.7,,Lakeshore Basic Staples and Fishing,0,26,503,25.3,0.8,7774,58,67,1013,0.67,"Aw   Tropical, savannah",2103,68.945,0.579,12192.5,600.5,3.5,1.6,13.1,34.2,5.3,0.348,0.127,0.073,0.007,0.25,0.146,0.136,0.169,0,2792.5,29.1,0,0,484.1,8.5,0,31.4,17.8,76,0,343.7,21.5,0,79.5,15.6,51.2,1,inland,0.708,0.602,0.543,0.628,Low,Low,Medium,Low,Very High,Very High,No,3754,3292.7,116.6,Very High
412118,Mozambique,NIASSA,LAGO,COBUE,Cóbue,Low Density Rural,0.136,0.131,69.289,69,528,1794,112,112,385.765,75.447,0,0.2,likely electrified,99,3,0.673,0.935,-0.2,,Lakeshore Basic Staples and Fishing,0,26,485,25.3,0.8,7774,58,67,1013,0.67,"Aw   Tropical, savannah",2106,6.314,0.16,13999.7,601.3,3.2,1.4,12.8,34,5.1,0.365,0.136,0.078,0.001,0.256,0.148,0.136,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,inland,0.718,0.606,0.546,0.633,Low,Low,Medium,Low,Very High,Very High,No,0,0,0,Very High
412132,Mozambique,NIASSA,LAGO,COBUE,Cóbue,Low Density Rural,0.167,0.16,76.615,77,482,2100,112,112,389.682,72.528,0,0.1,likely electrified,99,3,0.741,0.931,-0.5,,Lakeshore Basic Staples and Fishing,0,26,509,25.2,0.8,7738,58,67,1013,0.66,"Aw   Tropical, savannah",2114,2.752,0.039,15937.2,600.5,3.4,1.6,13,34.2,5.3,0.35,0.13,0.077,0,0.245,0.141,0.133,0.164,0,309.4,2.9,0,0,48.7,0.9,0,7.4,2,7.4,0,37.7,2.2,0,10.2,1.7,5.3,1,inland,0.707,0.601,0.543,0.627,Low,Low,Medium,Low,Very High,Very High,No,413.5,369.5,14.1,Very High
415363,Mozambique,NIASSA,LAGO,COBUE,Cóbue,Low Density Rural,1.117,1.07,374.47,374,349,1522,449,449,386.53,74.284,0,0.2,likely electrified,99,3,3.638,0.935,-0.6,,Lakeshore Basic Staples and Fishing,0,26,512,25.2,0.8,7738,58,67,1013,0.66,"Aw   Tropical, savannah",2103,52.119,0.383,13303,600,3.6,1.7,13.2,34.3,5.4,0.341,0.125,0.073,0.005,0.243,0.141,0.133,0.164,2.1,1166.2,17.5,0,0,137,5,0,40.9,8.7,37.2,0,182.1,12.7,0,56.6,9.8,31.4,1,inland,0.702,0.598,0.541,0.624,Low,Low,Low,Low,Very High,Very High,No,1579.2,1475.4,79.1,Very High
415401,Mozambique,NIASSA,LAGO,COBUE,Cóbue,Low Density Rural,0.871,0.834,305.228,305,365,2832,398,398,393.62,69.667,0,0.2,likely electrified,1,1,0.24,0.1,-0.3,,Lakeshore Basic Staples and Fishing,0,26,512,25.2,0.8,7738,58,67,1013,0.66,"Aw   Tropical, savannah",2119,0.977,0.001,18876.6,599.6,3.5,1.7,12.9,34.2,5.2,0.348,0.13,0.081,0,0.244,0.142,0.135,0.165,0,653.8,5,0,0,76,1.9,0,12.6,3.3,12.1,0,60.6,3.4,0,18.3,2.9,10.2,1,inland,0.706,0.601,0.545,0.627,Low,Low,Medium,Low,Very High,Very High,No,820.3,753.5,24.6,Very High
565850,Mozambique,SOFALA,CHERINGOMA,INHAMINGA,Inhaminga,Very Low Density Rural,0.127,0.114,16.783,17,149,78,121,121,84.922,83.027,0,0.2,likely electrified,99,3,0.17,0.973,,,Cheringoma and Muanza Maize and Cassava,0,143,3,24.6,1,7519,11,79,1101,0.59,"Aw   Tropical, savannah",2017,2.913,0.001,577.9,0.1,4.9,4.4,5,20.4,5,0.382,0.319,0.148,0,0.249,0.227,0.154,0.203,1170.9,93.8,60.5,1351.9,3.3,2404.7,2.7,0,0,89.9,103.1,3302.5,96.5,151.9,127.4,350.9,64.3,194.5,0.99,marine,0.705,0.682,0.561,0.66,Low,Medium,Medium,Low,Very High,Very High,No,3961.6,1931,4000.3,Very High
798293,Mozambique,ZAMBEZIA,MAGANJA DA COSTA,NANTE,Nante,Low Density Rural,1.355,1.237,155.138,156,126,5108,418,418,92.245,75.58,0,0.2,likely electrified,99,3,1.643,0.957,-0.3,,North-Central Coastal Fishing,0,144,7,25.1,1,7702,23,78,923,0.72,"Aw   Tropical, savannah",2052,7.694,0.399,833.5,1.7,2.9,2.6,7,23.2,2.9,0.497,0.308,0.145,0.003,0.323,0.234,0.164,0.234,226.5,8902.8,17.9,207.6,0,127.1,4.7,0,0,342.1,130.5,0,490.3,26.5,13.3,75.4,13.5,39.2,0.83,marine,0.692,0.603,0.491,0.605,Low,Medium,High,Low,Very High,Very High,No,10224,9739.7,128.7,Very High
821198,Mozambique,ZAMBEZIA,MAGANJA DA COSTA,NANTE,Nante,Low Density Rural,1.107,1.012,222.082,222,219,5770,351,351,95.194,59.025,0,0.2,likely electrified,99,3,2.344,0.954,-0.5,,North-Central Coastal Fishing,0,146,9,25.2,1,7738,28,78,976,0.69,"Aw   Tropical, savannah",2061,0,0,679.9,1,2.6,3.2,5.9,23,3.3,0.486,0.325,0.158,0,0.317,0.243,0.171,0.238,153.7,6233.7,12.5,133.7,0,89.5,3.3,0,0,241.4,87,0,356.8,17.6,8.8,52.4,9,25.7,0.9,marine,0.727,0.651,0.534,0.648,Low,Medium,High,Low,Very High,Very High,No,7165.4,6826.5,87.8,Very High
834295,Mozambique,ZAMBEZIA,MAGANJA DA COSTA,MAGANJA DA COSTA,Maganja da Costa-Sede,Low Density Rural,0.26,0.238,66.771,67,281,3444,102,102,97.047,47.94,0,0.2,likely electrified,99,3,0.707,0.957,-0.6,,North-Central Coastal Fishing,0,148,8,25.2,1,7738,28,78,976,0.72,"Aw   Tropical, savannah",2054,0,0,634.7,1.8,2.5,3.2,5.8,23,3.2,0.491,0.327,0.151,0,0.32,0.244,0.167,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,marine,0.686,0.61,0.491,0.605,Low,Medium,High,Low,Very High,Very High,No,0,0,0,Very High
857223,Mozambique,ZAMBEZIA,MAGANJA DA COSTA,BAJONE,Bajone,Low Density Rural,1.526,1.399,446.818,447,319,9457,411,411,107.463,24.413,0,0.2,likely electrified,99,3,22.555,1.015,-0.8,,North-Central Coastal Fishing,0,152,13,25.1,0.9,7702,9,78,899,0.72,"Aw   Tropical, savannah",2065,67.341,1.671,206.8,0.5,3.6,4.3,4.6,24,4.3,0.403,0.316,0.182,0.016,0.28,0.245,0.187,0.231,384.7,5990.3,27.2,313.8,0.1,154.1,2.7,0,0,181.7,78.9,0,378.7,33.5,33.8,137.3,14.1,41.5,0.95,marine,0.707,0.67,0.569,0.659,Low,Medium,Medium,Low,Very High,Very High,No,7171.1,6941.3,218.8,Very High
