id,Country,Region,District,Postos,Postos_INE,Urbanization Status,Cluster Area (from IEP),Cluster Area in km2,Population (from IEP),Population 2025,Population density,Population within 20 km,Buildings (from IEP),Buildings,Distance from MV power lines,Distance from nearest mini-grid,Nightlight (from IEP),Night lights intensity,Electrification status nightlights,Electrification status (IEP study),Least-cost electrification mode (IEP results),Least-cost elec. New Capacity (kW),Least-cost elec. Generating Cost ($/kWh),Relative Wealth Index,Percentage of food-insecure people,Livelihoods,Conflict fatalities nearby,Cyclone hazard (1 in 100 years wind speed),Elevation,Mean temperature,Mean diurnal temperature range,Cooling Degree Days Cold Room at 4C,Hot days (>30C) in a year,Relative humidity,Precipitation,Aridity Index,Climate class,Solar PV Output (kWh/year per installed kW),Cropland area ha,Cropland percentage of Influence area,Permanent water area (ha) within 10 km,Distance from coastlines,Travel time airports,Travel time ports,Travel time cities,Travel time capital,Travel time railway stations,Export Market Accessibility,National Market Accessibility,Fresh Markets Accessibility,Farming Activity,Ag Cooling Demand Export Market,Ag Cooling Demand National Market,Ag Cooling Demand Fresh Markets,Ag Cooling Demand ALL Markets,Banana production,Cassava production,Citrus production,Cashew Nut production,Cotton production,Maize production,Other Roots & Tubers production,Plantain production,Potato production,Rice production,Sorghum production,Sugarcane production,Sweet Potato production,Temperate Fruit production,Tobacco production,Tropical Fruit production,Vegetables production,Tomato production,Fishing Activity (marine + inland),Fishing type,Fish Cooling Demand Export Market,Fish Cooling Demand National Market,Fish Cooling Demand Fresh Markets,Fish Cooling Demand ALL Markets,Fresh Markets Accessibility - class,National Market Accessibility - class,Export Market Accessibility - class,Ag Cooling Demand ALL Markets - class,Fish Cooling Demand ALL Markets - class,Cooling_potential,Ground_Survey,Staple_Crop Production (t/y),Perishable_Crop Production (t/y),Cash Crop Production (t/y),PUE_potential
10058,Mozambique,MAPUTO,NAMAACHA,CHANGALANE,Changalane,Rural Clusters,2.635,2.122,976.165,976,459,14800,1670,1670,0.039,19.075,2.1,0.9,electrified,1,1,4.191,0.1,-1,0.15,Southern Highland Cattle and Mixed Cropping,0,63,101,22.4,1.2,6716,126,66,707,0.4,"Cwa  Temperate, dry winter, hot summer",1737,50.132,0.754,814.7,47.9,0.6,1.2,1,1.2,0,0.953,0.762,0.233,0.008,0.508,0.414,0.155,0.357,6797.8,4527.4,49.9,0,0,918.2,6.3,0,84.1,0,0.7,7489.9,1294.3,117.3,68.7,44.1,51.4,148,0.582,inland,0.745,0.652,0.355,0.594,Medium,Very High,Very High,High,High,High,No,13628.8,12922.7,7771.4,High
13492,Mozambique,MAPUTO,NAMAACHA,CHANGALANE,Changalane,Low Density Rural,1.347,1.084,335.575,336,309,10571,840,840,0.229,14.717,0.792,0.5,electrified,1,1,0.3,0.1,-0.8,0.15,Southern Highland Cattle and Mixed Cropping,0,66,71,22.4,1.2,6716,126,66,707,0.39,"BSh  Arid, steppe, hot",1757,29.506,0.907,543.1,45.2,0.6,1.2,1,1.2,0.2,0.945,0.757,0.22,0.008,0.504,0.411,0.149,0.353,7407.4,4968.7,51.8,0,0,1079.3,6.7,0,95.8,0,1,10692.9,1397.4,114.3,69.2,48,49.6,139.4,0.443,inland,0.663,0.576,0.279,0.514,Medium,Very High,Very High,High,High,High,No,14956.3,14087.9,10974,High
14831,Mozambique,MAPUTO,MOAMBA,SABIE,Sabie,Low Density Rural,0.307,0.251,31.462,32,127,9047,103,103,0.044,64.773,0,0.4,electrified,1,1,0.028,0.1,-0.4,0.15,Southern Highland Cattle and Mixed Cropping,0,72,73,23.3,1.4,7044,158,63,595,0.4,"BSh  Arid, steppe, hot",1787,9.182,0.177,343.1,71.3,0.6,1.6,1.4,1.6,0.8,0.908,0.729,0.211,0.002,0.501,0.413,0.159,0.356,9335.6,8890.7,70.7,0,0,1571.2,9.5,0,106.4,0.2,2.3,20540.3,1410.7,133.7,123,59.6,55.6,163.8,0.31,inland,0.589,0.511,0.227,0.449,Low,Very High,Very High,High,High,High,No,21326.6,20001.8,20912.2,High
19667,Mozambique,MAPUTO,MATUTUINE,CATUANE,Catuane,Low Density Rural,0.761,0.606,78.783,80,132,772,182,182,1.611,11.022,0,0.2,likely electrified,99,3,1.059,1.135,,0.2,Southern Highland Cattle and Mixed Cropping,0,62,33,22.6,1.3,6789,,,,0.38,"BSh  Arid, steppe, hot",1730,234.775,1.875,440,55.8,2.4,2.5,2.5,2.5,1.8,0.771,0.64,0.175,0.023,0.424,0.363,0.139,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378,inland,0.534,0.485,0.229,0.422,Low,Very High,Very High,High,High,High,No,0,0,0,High
22922,Mozambique,MAPUTO,MATUTUINE,ZITUNDO,Zitundo,Low Density Rural,0.805,0.642,65.041,65,101,262,193,193,0.026,23.609,0,0.3,electrified,1,1,0.058,0.1,-0.6,0.2,"Southern Coastal Rishing, Manioc, and Maize",0,68,33,22.5,1.2,6752,130,68,733,0.43,"BSh  Arid, steppe, hot",1718,14.213,0.023,858.8,43.5,2.1,2.2,2.2,2.2,1.5,0.803,0.661,0.176,0.001,0.427,0.36,0.127,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601,inland,0.674,0.611,0.338,0.55,Low,Very High,Very High,High,High,High,No,0,0,0,High
29027,Mozambique,TETE,CAHORA BASSA,CHITIMA,Chitima,Low Density Rural,0.364,0.338,308.594,309,915,118562,517,517,100.4,24.688,0.494,0.6,electrified,99,10,2.069,0.01,0,,Cahora Bassa Dam Sesame and Cotton,0,40,353,25.9,1.5,7993,187,58,752,0.33,"BSh  Arid, steppe, hot",2081,30.543,0.523,275.8,505.4,0.5,2.9,8.5,23.6,3,0.558,0.353,0.489,0.005,0.374,0.275,0.341,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,inland,0.425,0.342,0.394,0.393,High,High,Very High,High,High,High,No,0,0,0,High
32461,Mozambique,TETE,CAHORA BASSA,CHITIMA,Chitima,Rural Clusters,0.849,0.787,744.232,744,945,118862,1615,1615,99.93,25.394,0.756,0.6,electrified,1,1,13.384,0.1,0.4,,Cahora Bassa Dam Sesame and Cotton,0,40,358,25.9,1.5,7993,187,58,752,0.34,"BSh  Arid, steppe, hot",2081,6.211,0.136,254.3,504.4,0.5,2.8,8.5,23.6,3,0.56,0.353,0.49,0.001,0.373,0.273,0.34,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,inland,0.416,0.333,0.385,0.384,High,High,Very High,High,High,High,No,0,0,0,High
32463,Mozambique,TETE,CAHORA BASSA,CHITIMA,Chitima,Low Density Rural,0.575,0.533,249.806,250,468,125747,499,499,99.14,25.293,0.661,0.4,likely electrified,99,3,2.667,0.944,0.4,,Cahora Bassa Dam Sesame and Cotton,0,40,370,25.8,1.5,7957,187,58,752,0.34,"BSh  Arid, steppe, hot",2082,41.555,3.685,212.8,504.2,0.4,2.8,8.4,23.6,3,0.562,0.359,0.513,0.031,0.388,0.29,0.363,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,inland,0.396,0.316,0.378,0.369,High,High,Very High,High,High,High,No,0,0,0,High
32464,Mozambique,TETE,CAHORA BASSA,CHITIMA,Chitima,Low Density Rural,0.328,0.304,193.165,193,634,138038,520,520,99.279,24.506,0.784,0.6,electrified,1,1,0.724,0.1,0.4,,Cahora Bassa Dam Sesame and Cotton,0,40,360,25.8,1.5,7957,187,58,752,0.33,"BSh  Arid, steppe, hot",2083,2.967,0.271,291.8,505.1,0.5,2.9,8.5,23.6,3,0.558,0.362,0.551,0.002,0.37,0.277,0.367,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,inland,0.43,0.352,0.429,0.41,Very High,High,Very High,High,High,High,No,0,0,0,High
35979,Mozambique,MAPUTO,MATUTUINE,BELA VISTA,Bela Vista,Very Low Density Rural,0.82,0.659,68.136,68,103,15162,162,162,0.046,35.192,0.539,0.3,electrified,1,1,0.061,0.1,-0.2,0.2,"Southern Coastal Rishing, Manioc, and Maize",0,70,38,22.8,1.1,6862,80,72,795,0.52,"BSh  Arid, steppe, hot",1736,2.867,0.065,445.2,20.2,0.8,0.7,0.7,0.7,0.2,0.958,0.778,0.238,0.001,0.516,0.427,0.162,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382,inland,0.646,0.564,0.266,0.499,Medium,Very High,Very High,High,High,High,No,0,0,0,High
36073,Mozambique,MAPUTO,MATUTUINE,BELA VISTA,Bela Vista,Low Density Rural,0.698,0.562,89.332,89,158,11283,191,191,0.016,29.522,0,0.3,electrified,1,1,0.08,0.1,-0.9,0.2,"Southern Coastal Rishing, Manioc, and Maize",0,72,31,22.9,1.1,6898,56,73,744,0.51,"BSh  Arid, steppe, hot",1758,5.506,0.022,1171.1,7.2,1.2,0.6,0.6,0.6,0.5,0.937,0.771,0.226,0,0.507,0.425,0.158,0.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,marine,0.579,0.508,0.211,0.44,Medium,Very High,Very High,High,High,High,No,0,0,0,High
39131,Mozambique,MAPUTO,MATUTUINE,BELA VISTA,Bela Vista,Rural Clusters,0.445,0.357,761.049,831,2326,8590,153,153,0.329,39.369,17.79,4.7,electrified,1,1,3.268,0.1,-0.3,0.2,"Southern Coastal Rishing, Manioc, and Maize",0,70,10,22.9,1.1,6898,80,72,795,0.51,"BSh  Arid, steppe, hot",1740,1.364,0.032,306.3,20.6,0.8,0.7,0.7,0.7,0.1,0.962,0.774,0.217,0,0.52,0.427,0.153,0.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,inland,0.595,0.511,0.208,0.445,Medium,Very High,Very High,High,High,High,No,0,0,0,High
39145,Mozambique,MAPUTO,MATUTUINE,BELA VISTA,Bela Vista,Low Density Rural,1.045,0.839,283.116,283,337,13966,288,288,0.05,37.516,1.492,1.4,electrified,1,1,0.254,0.1,-0.2,0.2,"Southern Coastal Rishing, Manioc, and Maize",0,70,23,22.8,1.1,6862,80,72,795,0.52,"BSh  Arid, steppe, hot",1739,0,0,364.4,20.7,0.8,0.7,0.7,0.7,0.1,0.962,0.778,0.234,0,0.518,0.427,0.159,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326,inland,0.617,0.534,0.236,0.469,Medium,Very High,Very High,High,High,High,No,0,0,0,High
42130,Mozambique,TETE,CAHORA BASSA,SONGO,Songo,Low Density Rural,0.531,0.492,153.947,154,312,149455,291,291,86.014,27.818,0,0.3,likely electrified,99,3,1.659,0.952,-0.5,,Cahora Bassa Dam Sesame and Cotton,0,42,420,25.2,1.5,7738,187,58,752,0.37,"Aw   Tropical, savannah",2066,12.745,0.665,724.1,499.7,0.4,2.7,8.4,23.5,2.9,0.569,0.373,0.588,0.006,0.365,0.271,0.374,0.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,inland,0.572,0.487,0.569,0.551,Very High,High,Very High,High,High,High,No,0,0,0,High
43462,Mozambique,GAZA,CHOKWE,MACARRETANE,Macarretane,Low Density Rural,3.47,2.887,339.08,340,117,58025,2820,2820,26.679,38.934,0.539,0.3,likely electrified,99,3,3.964,1.056,-0.5,0.15,Limpopo and Elephant Rivers Mixed Cropping,0,91,52,24.1,1.4,7337,185,62,525,0.34,"BSh  Arid, steppe, hot",1864,56.048,0.575,220.1,133.1,1.9,4.2,4.1,4.2,0.8,0.757,0.619,0.34,0.006,0.441,0.376,0.237,0.349,0,2543.2,63,0,0,6284.4,8.2,0,30.2,31.7,72.1,0,456.6,140.6,113.9,34.7,39.6,90.8,0.212,inland,0.469,0.419,0.259,0.388,High,Very High,Very High,High,High,High,No,9426.4,3253.1,328.8,High
45566,Mozambique,MAPUTO,MATUTUINE,BELA VISTA,Bela Vista,Very Low Density Rural,0.428,0.343,32.061,32,93,1420,114,114,0.147,50.901,0,0.3,electrified,1,1,0.029,0.1,-0.7,0.2,"Southern Coastal Rishing, Manioc, and Maize",0,76,14,22.8,1.1,6862,80,72,795,0.53,"Aw   Tropical, savannah",1737,1.444,0.003,274.9,20.3,0.6,1,1,1,0.3,0.951,0.753,0.191,0,0.512,0.414,0.139,0.353,1364.7,1.3,47.4,0,0,3585.5,13.5,0,68.2,135.7,0,243.9,59.8,47.4,4.3,45.3,27.6,91.9,0.257,inland,0.572,0.485,0.181,0.419,Low,Very High,Very High,High,High,High,No,5228.7,1627.8,368.5,High
46430,Mozambique,GAZA,CHOKWE,MACARRETANE,Macarretane,Low Density Rural,1.593,1.324,440.151,440,332,89944,1738,1738,22.022,35.297,0.587,0.3,likely electrified,99,3,24.719,1.129,-0.4,0.15,Limpopo and Elephant Rivers Mixed Cropping,0,91,50,24.1,1.4,7337,186,63,541,0.35,"BSh  Arid, steppe, hot",1861,17.094,0.21,137.1,128.4,2,4.1,4,4.1,0.7,0.759,0.645,0.442,0.002,0.439,0.387,0.283,0.368,0,153.1,19.3,0,0,2683.6,0.8,0,5.6,14.3,24.6,0,79.7,59.7,55.6,8.3,16.5,37.4,0.138,inland,0.428,0.393,0.273,0.37,High,Very High,Very High,High,High,High,No,2961.7,323.7,140.1,High
48708,Mozambique,TETE,CAHORA BASSA,SONGO,Songo,Suburban or Peri Urban,0.283,0.262,930.268,930,3547,139033,123,123,78.081,31.462,12.65,15,electrified,1,1,16.729,0.1,0.5,,Cahora Bassa Dam Sesame and Cotton,0,44,875,21.7,1.3,6460,194,59,775,0.44,"Aw   Tropical, savannah",2071,67.153,19.127,816.6,498,0.1,2.5,8.2,23.3,2.7,0.59,0.381,0.557,0.154,0.377,0.276,0.361,0.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583,inland,0.527,0.436,0.502,0.496,Very High,High,Very High,High,High,High,No,0,0,0,High
52092,Mozambique,MAPUTO,MATUTUINE,ZITUNDO,Zitundo,Low Density Rural,0.87,0.694,327.881,328,472,19361,378,378,0.124,61.351,0.421,0.6,electrified,1,1,0.294,0.1,-0.2,0.2,"Southern Coastal Rishing, Manioc, and Maize",0,74,47,22.6,1,6789,2,78,1048,0.56,"Aw   Tropical, savannah",1767,0,0,501.6,7.2,0.2,1.3,1.3,1.3,0.6,0.945,0.753,0.245,0,0.504,0.41,0.161,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,marine,0.577,0.493,0.215,0.435,Medium,Very High,Very High,High,High,High,No,0,0,0,High
52095,Mozambique,MAPUTO,MATUTUINE,ZITUNDO,Zitundo,Low Density Rural,0.548,0.438,176.461,176,402,19358,130,130,0.101,61.893,0.483,0.5,electrified,99,3,2.316,1.108,-0.2,0.2,"Southern Coastal Rishing, Manioc, and Maize",0,74,36,22.7,1,6826,2,78,1048,0.55,"Aw   Tropical, savannah",1769,0,0,505.1,7,0.2,1.3,1.3,1.3,0.6,0.945,0.753,0.245,0,0.506,0.412,0.163,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,marine,0.59,0.505,0.227,0.448,Medium,Very High,Very High,High,High,High,No,0,0,0,High
62060,Mozambique,MAPUTO,MANHIÇA,CALANGA,Calanga,Low Density Rural,0.644,0.526,84.445,86,163,1498,200,200,9.3,10.124,0,0.3,likely electrified,99,3,1.068,1.068,-0.3,0.2,"Southern Coastal Rishing, Manioc, and Maize",1,85,23,23.3,1.2,7044,78,71,946,0.53,"Aw   Tropical, savannah",1836,252.409,3.671,327,8.3,1,1.3,1.2,1.3,0.3,0.922,0.736,0.189,0.038,0.528,0.436,0.166,0.375,10613.6,1361.7,1260.4,0,0,4012.1,6.2,0,100.7,23,0.9,521595.8,513.2,342.8,875.8,5331.2,18682.6,58249.3,0.17,marine,0.519,0.441,0.147,0.374,Low,Very High,Very High,High,High,High,No,16631.4,36952,546828.2,High
64366,Mozambique,MANICA,MANICA,MESSICA,Messica,Low Density Rural,0.77,0.688,147.596,148,215,59372,159,159,108.559,5.161,0,0.2,likely electrified,99,3,1.521,0.992,-0.7,,"Manica Highland Mixed Cropping, Cotton, and Tobacco",0,72,664,20.8,1.4,6132,62,67,793,0.52,"Cwa  Temperate, dry winter, hot summer",1979,2179.384,13.021,653.2,211.4,1.5,3.7,0.5,16.7,0.5,0.648,0.562,0.379,0.178,0.401,0.364,0.271,0.343,0,0,26,0,0,2494.5,9.1,0,8.8,15.5,0,0,0.6,12.4,0,28.5,9.2,48.6,0.505,inland,0.494,0.471,0.356,0.447,High,Very High,Very High,High,High,High,No,2528.5,68.6,50.1,High
65384,Mozambique,MAPUTO,MANHIÇA,CALANGA,Calanga,Very Low Density Rural,0.433,0.353,39.067,39,110,2384,120,120,5.997,1.489,0,0.3,likely electrified,8,8,0.076,34.451,-0.4,0.2,"Southern Coastal Rishing, Manioc, and Maize",0,85,27,23.4,1.2,7081,78,71,946,0.55,"Aw   Tropical, savannah",1822,376.226,3.769,600.4,12.9,1,1.5,1.4,1.5,0.5,0.906,0.724,0.19,0.043,0.524,0.434,0.171,0.375,4121.5,131,1047.2,0,0,4181.2,3.3,0,51.2,19.3,0.3,386556.4,184.7,211.5,698.4,4646.1,16597,55467.6,0.476,inland,0.683,0.598,0.301,0.536,Low,Very High,Very High,High,High,High,No,8692.5,25946.3,408709.4,High
94137,Mozambique,TETE,CHANGARA,KACHEMBE (MARARA),Marara,Low Density Rural,0.259,0.239,87.983,88,367,32316,107,107,68.201,71.528,0,0.2,likely electrified,99,3,0.952,0.956,-0.3,0.3,Central Semiarid Cotton and Minerals,0,51,194,26.3,1.4,8140,198,59,796,0.34,"BSh  Arid, steppe, hot",2054,81.399,0.326,424.9,462.2,1,1.9,7.7,22.8,2.1,0.596,0.341,0.224,0.005,0.403,0.278,0.225,0.298,0,287.2,46.5,0,6.4,119.8,3.8,0,0,1.5,213.4,0,540.6,185.1,77.9,17.9,36.1,125.1,0.368,inland,0.517,0.403,0.325,0.421,Medium,High,Very High,High,High,High,No,1166.3,1070.7,323.4,High
97277,Mozambique,TETE,CHANGARA,KACHEMBE (MARARA),Marara,Low Density Rural,0.641,0.593,361.435,361,608,48779,376,376,59.3,73.419,0,0.2,likely electrified,99,3,3.898,0.953,-0.4,0.3,Central Semiarid Cotton and Minerals,0,51,383,25.3,1.4,7774,213,58,764,0.34,"BSh  Arid, steppe, hot",2062,105.131,2.359,366.5,452,0.9,1.7,7.4,22.5,1.9,0.613,0.361,0.279,0.022,0.399,0.276,0.239,0.301,0,600.1,86.2,0,11.5,221.8,7.3,0,0,3,368.7,0,1004.1,329.7,144.2,39.7,66.3,217.4,0.327,inland,0.481,0.37,0.311,0.393,Medium,High,Very High,High,High,High,No,2205,2047.2,591.4,High
98038,Mozambique,GAZA,GUIJA,CHIVONGOENE,Chivonguene,Low Density Rural,0.663,0.55,60.718,62,112,41964,521,521,20.946,50.076,0,0.2,likely electrified,99,3,0.719,1.07,,0.2,Limpopo and Elephant Rivers Mixed Cropping,0,97,20,24.3,1.4,7410,174,65,534,0.38,"BSh  Arid, steppe, hot",1841,34.056,0.333,358.4,96.3,2.5,4.2,4.2,4.2,1.3,0.719,0.593,0.288,0.004,0.424,0.365,0.216,0.332,0,14721.3,102.3,0,0,2228.4,35.2,0,114.6,0,102.7,0,3104.5,83.1,13.6,133.9,68.8,206.2,0.321,inland,0.513,0.467,0.292,0.431,Medium,Very High,Very High,High,High,High,No,20306.7,18261.4,299.4,High
100598,Mozambique,TETE,CHANGARA,KACHEMBE (MARARA),Marara,Low Density Rural,0.411,0.38,145.972,146,384,41634,270,270,59.91,76.451,0,0.2,likely electrified,99,3,1.57,0.95,-0.3,0.3,Central Semiarid Cotton and Minerals,0,51,306,25.8,1.4,7957,213,58,764,0.34,"BSh  Arid, steppe, hot",2066,53.993,0.644,655.7,453.7,1,1.7,7.5,22.6,1.9,0.608,0.354,0.255,0.007,0.4,0.275,0.231,0.298,0,357.3,81.4,0,7.6,1037.4,13.7,0,0,1.7,725,0,1344.9,236.5,83.5,61,59.3,191.7,0.506,inland,0.589,0.471,0.398,0.494,Medium,High,Very High,High,High,High,No,3480,2072.7,447.9,High
101312,Mozambique,GAZA,GUIJA,NALAZI,Chivonguene,Low Density Rural,1.334,1.107,156.212,156,140,33068,1026,1026,23.672,47.246,0,0.2,likely electrified,99,3,1.839,1.064,-0.3,0.2,Limpopo and Elephant Rivers Mixed Cropping,0,97,21,24.3,1.4,7410,174,65,534,0.37,"BSh  Arid, steppe, hot",1851,48.411,0.596,389,98,2.3,4,3.9,4,1,0.743,0.604,0.263,0.006,0.438,0.372,0.205,0.336,0,13421,94.3,0,0,1670.6,32,0,105.3,0,87.4,0,2855.9,67.8,13.1,123.4,58.9,175.1,0.343,inland,0.539,0.484,0.29,0.445,Medium,Very High,Very High,High,High,High,No,18172.2,16664.3,263.2,High
123472,Mozambique,TETE,CHANGARA,KACHEMBE (MARARA),Marara,Low Density Rural,0.489,0.452,299.876,300,664,74652,205,205,41.291,73.069,0,0.2,likely electrified,99,3,3.22,0.949,-0.5,0.3,Central Semiarid Cotton and Minerals,0,56,248,26,1.3,8030,227,58,718,0.32,"BSh  Arid, steppe, hot",2071,1.836,0.022,654.3,434.7,1.3,1.2,7.2,22.3,1.4,0.627,0.384,0.363,0,0.411,0.291,0.282,0.325,0,306.6,91.6,0,6.3,1316.5,20.7,0,0,1.3,1051.8,0,1818.4,210.1,55.7,68.7,56.2,190,0.505,inland,0.604,0.491,0.456,0.525,High,High,Very High,High,High,High,No,4515.3,2480.7,397,High
127372,Mozambique,GAZA,BILENE,PRAIA DE BILENE,Vila da Praia de Bilene,Suburban or Peri Urban,2.637,2.158,1374.433,1383,640,8700,821,821,20.695,37.833,1.99,0.8,electrified,1,1,10.352,0.1,0.2,,"Southern Coastal Rishing, Manioc, and Maize",0,98,33,23.5,1.2,7118,56,71,833,0.6,"Aw   Tropical, savannah",1830,7.201,0.284,2838.6,4.2,0.2,2.6,2.6,2.6,1.2,0.87,0.676,0.199,0.003,0.486,0.39,0.158,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,marine,0.724,0.63,0.36,0.58,Low,Very High,Very High,High,High,High,No,0,0,0,High
129957,Mozambique,TETE,CHANGARA,LUENHA,Luenha,Low Density Rural,1.648,1.511,523.425,523,346,61929,913,913,63.684,20.784,0.368,0.3,likely electrified,1,1,9.413,0.1,-0.1,0.2,Central Semiarid Cotton and Minerals,0,64,237,26.2,1.4,8103,226,56,683,0.32,"BSh  Arid, steppe, hot",2044,100.874,1.775,268.5,364.3,1.2,1.1,5.2,20.3,1.3,0.658,0.44,0.342,0.018,0.441,0.334,0.284,0.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,inland,0.485,0.391,0.324,0.406,High,Very High,Very High,High,High,High,No,0,0,0,High
133918,Mozambique,GAZA,BILENE,PRAIA DE BILENE,Vila da Praia de Bilene,Low Density Rural,0.478,0.392,57.663,58,148,4159,164,164,17.627,40.852,0.506,0.4,likely electrified,99,3,0.684,1.071,0,,"Southern Coastal Rishing, Manioc, and Maize",0,98,9,23.6,1.2,7154,56,71,833,0.59,"Aw   Tropical, savannah",1828,35.273,0.99,2271.6,4.2,0.3,2.8,2.7,2.8,1.4,0.852,0.663,0.183,0.009,0.482,0.389,0.155,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,marine,0.716,0.625,0.354,0.574,Low,Very High,Very High,High,High,High,No,0,0,0,High
136520,Mozambique,MANICA,GURO,MUNGARI,Nhamassonge,Low Density Rural,0.541,0.496,186.382,186,374,5240,204,204,63.692,22.936,0,0.2,likely electrified,99,3,1.873,0.967,-0.3,0.15,Central Semiarid Cotton and Minerals,0,64,245,26.2,1.4,8103,226,56,683,0.32,"BSh  Arid, steppe, hot",2036,61.113,2.431,268.9,361.9,1.2,1.1,5.3,20.4,1.3,0.656,0.406,0.162,0.021,0.442,0.318,0.202,0.317,0,412,10.1,0,26.1,79.4,0.4,0,0,0.1,40.9,0,117.9,70.4,37.9,1.7,9.5,35,0.253,inland,0.484,0.374,0.234,0.37,Low,High,Very High,High,High,High,No,650.7,611.9,145.6,High
136528,Mozambique,TETE,CHANGARA,LUENHA,Luenha,Low Density Rural,1.41,1.293,416.645,417,322,26345,926,926,59.063,18.187,0,0.3,likely electrified,1,1,7.493,0.1,0.2,0.2,Central Semiarid Cotton and Minerals,0,64,229,26.3,1.4,8140,226,56,683,0.32,"BSh  Arid, steppe, hot",2038,128.116,1.84,295.4,366.4,1.1,1,5.3,20.4,1.2,0.666,0.42,0.228,0.019,0.448,0.326,0.234,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274,inland,0.503,0.395,0.28,0.399,Medium,Very High,Very High,High,High,High,No,0,0,0,High
139750,Mozambique,MANICA,GURO,MUNGARI,Nhamassonge,Low Density Rural,0.386,0.354,147.208,147,415,4384,339,339,60.319,21.352,0,0.2,likely electrified,99,3,1.481,0.968,-0.6,0.15,Central Semiarid Cotton and Minerals,0,64,219,26.4,1.4,8176,226,56,683,0.32,"BSh  Arid, steppe, hot",2033,130.548,6.552,293.7,363.2,1.3,1.2,5.4,20.5,1.3,0.65,0.401,0.158,0.057,0.462,0.338,0.221,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272,inland,0.496,0.386,0.246,0.382,Low,High,Very High,High,High,High,No,0,0,0,High
143013,Mozambique,TETE,CHANGARA,LUENHA,Luenha,Low Density Rural,1.495,1.372,406.658,407,296,5480,1067,1067,53.743,17.868,0,0.2,likely electrified,1,1,7.313,0.1,-0.5,0.2,Central Semiarid Cotton and Minerals,0,64,222,26.4,1.4,8176,226,56,683,0.32,"BSh  Arid, steppe, hot",2024,9.447,0.231,308,367.5,1.1,1,5.4,20.5,1.1,0.667,0.407,0.161,0.002,0.442,0.313,0.196,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,inland,0.512,0.395,0.253,0.393,Low,High,Very High,High,High,High,No,0,0,0,High
143016,Mozambique,TETE,CHANGARA,LUENHA,Luenha,Low Density Rural,0.198,0.182,61.079,61,335,5073,101,101,52.144,17.956,0,0.2,likely electrified,99,3,0.672,0.973,-0.4,0.2,Central Semiarid Cotton and Minerals,0,64,242,26.3,1.4,8140,226,56,683,0.33,"BSh  Arid, steppe, hot",2021,0.653,0.024,287.8,367.9,1,0.9,5.4,20.5,1.1,0.672,0.408,0.16,0,0.441,0.31,0.193,0.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,inland,0.504,0.385,0.243,0.383,Low,High,Very High,High,High,High,No,0,0,0,High
146281,Mozambique,MANICA,GURO,NHAMASSONGE,Nhamassonge,Low Density Rural,0.637,0.584,238.206,241,412,4341,442,442,55.196,20.519,0,0.2,likely electrified,99,3,2.413,0.975,-0.4,0.15,Central Semiarid Cotton and Minerals,0,64,224,26.4,1.4,8176,226,56,683,0.32,"BSh  Arid, steppe, hot",2019,197.112,12.227,306.3,364.6,1.2,1.1,5.5,20.6,1.3,0.654,0.399,0.157,0.104,0.489,0.362,0.242,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,inland,0.504,0.39,0.251,0.388,Low,High,Very High,High,High,High,No,0,0,0,High
